Airline,Date,Month,Year,Baggage,Scheduled,Cancelled,Enplaned
American Eagle,01/2004,1,2004,12502,38276,2481,992360
American Eagle,02/2004,2,2004,8977,35762,886,1060618
American Eagle,03/2004,3,2004,10289,39445,1346,1227469
American Eagle,04/2004,4,2004,8095,38982,755,1234451
American Eagle,05/2004,5,2004,10618,40422,2206,1267581
American Eagle,06/2004,6,2004,13684,39879,1580,1347303
American Eagle,07/2004,7,2004,14121,41586,1819,1396642
American Eagle,08/2004,8,2004,12732,42016,1465,1339264
American Eagle,09/2004,9,2004,7895,40871,1077,1292147
American Eagle,10/2004,10,2004,9444,42381,1090,1393881
American Eagle,11/2004,11,2004,9582,40839,1568,1274530
American Eagle,12/2004,12,2004,17555,42629,1514,1308685
American Eagle,01/2005,1,2005,15361,43009,3152,1185194
American Eagle,02/2005,2,2005,9561,39900,1116,1213016
American Eagle,03/2005,3,2005,13002,44844,1344,1463518
American Eagle,04/2005,4,2005,11071,43778,987,1443118
American Eagle,05/2005,5,2005,12300,45943,1083,1558066
American Eagle,06/2005,6,2005,16373,44866,1234,1591497
American Eagle,07/2005,7,2005,19701,45669,1786,1581318
American Eagle,08/2005,8,2005,16666,46605,1468,1539095
American Eagle,09/2005,9,2005,12636,44408,1039,1473347
American Eagle,10/2005,10,2005,14258,45212,1000,1561466
American Eagle,11/2005,11,2005,14440,43016,774,1485296
American Eagle,12/2005,12,2005,24696,44782,1763,1473586
American Eagle,01/2006,1,2006,19255,44997,1338,1377354
American Eagle,02/2006,2,2006,17319,40682,1432,1321141
American Eagle,03/2006,3,2006,20344,45177,1420,1546954
American Eagle,04/2006,4,2006,19726,45721,1254,1573209
American Eagle,05/2006,5,2006,21248,47566,1678,1697845
American Eagle,06/2006,6,2006,22767,46443,1698,1727570
American Eagle,07/2006,7,2006,23184,47779,1857,1721446
American Eagle,08/2006,8,2006,27630,48096,1583,1648003
American Eagle,09/2006,9,2006,25922,45627,1952,1477269
American Eagle,10/2006,10,2006,24699,47259,1865,1610842
American Eagle,11/2006,11,2006,18954,44561,1555,1512933
American Eagle,12/2006,12,2006,28556,46180,2358,1477993
American Eagle,01/2007,1,2007,24190,45967,2583,1347578
American Eagle,02/2007,2,2007,20753,41203,2976,1275159
American Eagle,03/2007,3,2007,21928,45410,2045,1535239
American Eagle,04/2007,4,2007,19483,43582,1600,1497745
American Eagle,05/2007,5,2007,19209,46088,1027,1655266
American Eagle,06/2007,6,2007,26213,44952,2669,1647953
American Eagle,07/2007,7,2007,24993,46794,2041,1701542
American Eagle,08/2007,8,2007,23156,47061,1731,1659183
American Eagle,09/2007,9,2007,14816,44669,839,1496771
American Eagle,10/2007,10,2007,15351,46034,831,1604364
American Eagle,11/2007,11,2007,13946,44175,738,1508899
American Eagle,12/2007,12,2007,23762,44559,3712,1363546
American Eagle,01/2008,1,2008,17507,43454,2447,1277141
American Eagle,02/2008,2,2008,15795,40221,3025,1232636
